Date,Close,High,Low,Open,Volume,Ticker
,EEM,EEM,EEM,EEM,EEM,
2020-09-28,38.788394927978516,38.94919463361527,38.60079640733037,38.86879478079689,45528300,EEM
2020-09-29,38.7615966796875,38.88666236194814,38.63653099742686,38.67226502315397,25333200,EEM
2020-09-30,39.38691711425781,39.49411575266986,39.03851898358118,39.06531779123837,48674300,EEM
2020-10-01,39.753204345703125,39.78000316825392,39.449471861581856,39.681736275187454,51521100,EEM
2020-10-02,39.2975959777832,39.64599420149795,39.109994050734805,39.1546632858032,32647100,EEM
2020-10-05,39.82466125488281,39.82466125488281,39.511993645683326,39.511993645683326,36059100,EEM
2020-10-06,39.89612579345703,40.19985819166095,39.762124903037815,39.94972683118156,43464800,EEM
2020-10-07,40.333858489990234,40.458924168394,40.146256564600435,40.26239044073999,45691100,EEM
2020-10-08,40.66439437866211,40.709060210692336,40.15519639639153,40.47679583946444,29669900,EEM
2020-10-09,40.94132995605469,41.05746044335394,40.646529316484184,40.762663211568146,31901900,EEM
2020-10-12,41.298648834228516,41.39691568742867,41.07531631614955,41.1646513680514,40037700,EEM
2020-10-13,41.12892150878906,41.1825191375695,40.91452077031494,41.15572032317928,35585000,EEM
2020-10-14,40.85198974609375,41.21825499275989,40.834122733111954,41.11105632265338,42300500,EEM
2020-10-15,40.55718994140625,40.59292055728622,40.21772353216611,40.26238935785412,41119300,EEM
2020-10-16,40.70012283325195,40.816253299068805,40.56612194772903,40.70012283325195,31611400,EEM
2020-10-19,40.583988189697266,40.994919232754796,40.50358834146566,40.82518773439208,30869500,EEM
2020-10-20,41.03065490722656,41.245052239283396,40.81625416738558,40.83412117968768,51631300,EEM
2020-10-21,41.146793365478516,41.37905773570282,41.03959127972774,41.09319232260313,42909300,EEM
2020-10-22,41.137855529785156,41.25398941138006,40.932389990215285,41.21825538507635,41884100,EEM
2020-10-23,41.379051208496094,41.379051208496094,40.97705196980407,41.173585688227725,36931400,EEM
2020-10-26,40.84306335449219,41.12892878450459,40.512528682215255,40.88772918897199,53574300,EEM
2020-10-27,41.02172088623047,41.13785476566824,40.82519056077914,40.959188045252645,41828600,EEM
2020-10-28,39.99439239501953,40.423190470635824,39.95865837010546,40.36958943326472,67047200,EEM
2020-10-29,40.396392822265625,40.530390307886215,40.00332535242962,40.14625804842882,44763400,EEM
2020-10-30,39.9407844543457,40.128382941044066,39.672786129378956,40.065850112144616,66155200,EEM
2020-11-02,40.44999313354492,40.46786014770169,40.12839369429204,40.360661470545566,51001600,EEM
2020-11-03,40.6286506652832,40.735849318159744,40.36065232919999,40.52145201240667,49744300,EEM
2020-11-04,41.90612030029297,42.066920011811234,41.09318993996588,41.173589795725015,81110200,EEM
2020-11-05,42.620784759521484,42.79945148835311,42.263454709642645,42.620784759521484,78029300,EEM
2020-11-06,42.81731414794922,42.97811384676762,42.46891593643737,42.585046401751946,57353300,EEM
2020-11-09,43.11212158203125,44.24665154574061,43.094257973720126,44.20198570939305,74889400,EEM
2020-11-10,42.620784759521484,43.049582864046734,42.433186227751264,42.94238418986153,68735600,EEM
2020-11-11,42.89772033691406,42.969184987070136,42.48678922710908,42.55825387726515,46272000,EEM
2020-11-12,42.57611846923828,43.15678447972105,42.46891979621132,43.00491656913051,41292600,EEM
2020-11-13,43.17464828491211,43.20144709923136,42.87091589408554,43.09424843417025,48143400,EEM
2020-11-16,43.71063995361328,43.85357262639571,43.55877207190361,43.63917191333021,63565900,EEM
2020-11-17,43.665977478027344,43.78210794070971,43.38011211055941,43.44264494670652,34661600,EEM
2020-11-18,43.51411437988281,43.862512621890914,43.50518257707066,43.853580819078765,32343400,EEM
2020-11-19,43.58557891845703,43.648111756452074,43.219313692578574,43.308645344633184,27524000,EEM
2020-11-20,43.826778411865234,43.951844087694155,43.64811170020217,43.6838457240916,35259100,EEM
2020-11-23,43.94291305541992,44.30917831564668,43.844649592058346,44.30024651271724,38979600,EEM
2020-11-24,44.53250503540039,44.55930725624324,44.07690817447945,44.30917250581908,39275200,EEM
